Problem No,Problem Category,Problem Name,Tags,Difficulty,Total solve
1843,F2,Omsk Metro (hard version),"['data structures', 'dfs and similar', 'divide and conquer', 'dp', 'math', 'trees']",,616
1843,F1,Omsk Metro (simple version),"['data structures', 'dfs and similar', 'dp', 'greedy', 'math', 'trees']",,2623
1843,E,Tracking Segments,"['binary search', 'brute force', 'data structures', 'two pointers']",,5851
1843,D,Apple Tree,"['combinatorics', 'dfs and similar', 'dp', 'math', 'trees']",,10474
1843,C,Sum in Binary Tree,"['bitmasks', 'combinatorics', 'math', 'trees']",,19723
1843,B,Long Long,"['greedy', 'math', 'two pointers']",,18557
1843,A,Sasha and Array Coloring,"['greedy', 'sortings', 'two pointers']",,22051
1842,I,Tenzing and Necklace,"['divide and conquer', 'dp', 'greedy']",,14
1842,H,Tenzing and Random Real Numbers,"['bitmasks', 'dp', 'graphs', 'math', 'probabilities']",,103
1842,G,Tenzing and Random Operations,"['combinatorics', 'dp', 'math', 'probabilities']",,190
1842,F,Tenzing and Tree,"['brute force', 'dfs and similar', 'graphs', 'greedy', 'shortest paths', 'sortings', 'trees']",,447
1842,E,Tenzing and Triangle,"['data structures', 'dp', 'geometry', 'greedy', 'math']",,654
1842,D,Tenzing and His Animal Friends,"['brute force', 'constructive algorithms', 'graphs', 'greedy', 'shortest paths']",,2095
1842,C,Tenzing and Balls,['dp'],,5250
1842,B,Tenzing and Books,"['bitmasks', 'greedy', 'math']",,8890
1842,A,Tenzing and Tsondu,"['games', 'math']",,12699
1841,F,Monocarp and a Strategic Game,"['geometry', 'sortings', 'two pointers']",2700,283
1841,E,Fill the Matrix,"['data structures', 'greedy', 'math']",2200,1128
1841,D,Pairs of Segments,"['data structures', 'greedy', 'sortings', 'two pointers']",2000,2569
1841,C,Ranom Numbers,"['brute force', 'dp', 'greedy', 'math', 'strings']",1800,5013
1841,B,Keep it Beautiful,['implementation'],1000,14718
1841,A,Game with Board,"['constructive algorithms', 'games']",800,19223
1840,G2,In Search of Truth (Hard Version),"['constructive algorithms', 'interactive', 'math', 'meet-in-the-middle', 'probabilities']",2500,547
1840,G1,In Search of Truth (Easy Version),"['constructive algorithms', 'interactive', 'math', 'meet-in-the-middle', 'probabilities']",2200,1574
1840,F,Railguns,"['brute force', 'dfs and similar', 'dp', 'graphs']",2200,1091
1840,E,Character Blocking,"['data structures', 'hashing', 'implementation']",1600,5044
1840,D,Wooden Toy Festival,"['binary search', 'greedy', 'sortings']",1400,8779
1840,C,Ski Resort,"['combinatorics', 'math', 'two pointers']",1000,16854
1840,B,Binary Cafe,"['bitmasks', 'combinatorics', 'math']",1100,16310
1840,A,Cipher Shifer,"['implementation', 'strings', 'two pointers']",800,24973
1839,E,Decreasing Game,"['constructive algorithms', 'dfs and similar', 'dp', 'greedy', 'interactive']",2400,747
1839,D,Ball Sorting,"['data structures', 'dp', 'sortings']",2100,1423
1839,C,Insert Zero and Invert Prefix,['constructive algorithms'],1300,8072
1839,B,Lamps,"['greedy', 'sortings']",1100,10863
1839,A,The Good Array,"['greedy', 'implementation', 'math']",800,14004
1838,F,Stuck Conveyor,"['binary search', 'constructive algorithms', 'interactive']",3000,186
1838,E,Count Supersequences,"['combinatorics', 'dp', 'math']",2500,886
1838,D,Bracket Walk,"['data structures', 'greedy', 'strings']",2100,2204
1838,C,No Prime Differences,"['constructive algorithms', 'math', 'number theory']",1400,9439
1838,B,Minimize Permutation Subarrays,"['constructive algorithms', 'math']",1100,12487
1838,A,Blackboard List,"['constructive algorithms', 'math']",800,17194
1837,F,Editorial for Two,"['binary search', 'data structures', 'greedy', 'implementation']",2400,1480
1837,E,Playoff Fixing,"['combinatorics', 'trees']",2200,1596
1837,D,Bracket Coloring,"['constructive algorithms', 'greedy']",1400,9807
1837,C,Best Binary String,"['constructive algorithms', 'greedy']",1000,16882
1837,B,Comparison String,['greedy'],900,19450
1837,A,Grasshopper on a Line,"['constructive algorithms', 'math']",800,22664
1836,B,Astrophysicists,"['greedy', 'math']",1100,8563
1836,A,Destroyer,"['implementation', 'sortings']",800,14051
1835,F,Good Graph,"['bitmasks', 'dfs and similar', 'graph matchings', 'graphs', 'implementation']",3500,49
1835,E,Old Mobile,"['combinatorics', 'dp', 'probabilities']",3500,81
1835,D,Doctor's Brown Hypothesis,"['dfs and similar', 'graphs', 'math', 'number theory']",2900,204
1835,C,Twin Clusters,"['bitmasks', 'brute force', 'constructive algorithms', 'math', 'probabilities']",2600,547
1835,B,Lottery,"['binary search', 'brute force', 'greedy', 'math', 'two pointers']",2500,484
1835,A,k-th equality,"['brute force', 'implementation', 'math']",1700,4516
1834,F,Typewriter,"['brute force', 'math']",2500,257
1834,E,MEX of LCM,"['binary search', 'data structures', 'implementation', 'math', 'number theory']",2300,995
1834,D,Survey in Class,"['brute force', 'data structures', 'greedy', 'implementation', 'sortings']",1900,2307
1834,C,Game with Reversing,"['games', 'greedy', 'math', 'strings']",1200,7852
1834,B,Maximum Strength,"['greedy', 'math']",1000,9642
1834,A,Unit Array,"['greedy', 'math']",800,13468
1833,G,Ksyusha and Chinchilla,"['constructive algorithms', 'dfs and similar', 'dp', 'dsu', 'greedy', 'implementation', 'trees']",1800,3289
1833,F,Ira and Flamenco,"['combinatorics', 'constructive algorithms', 'data structures', 'implementation', 'math', 'sortings', 'two pointers']",1700,4680
1833,E,Round Dance,"['dfs and similar', 'dsu', 'graphs', 'shortest paths']",1600,6958
1833,D,Flipper,"['brute force', 'constructive algorithms', 'greedy']",1400,9887
1833,C,Vlad Building Beautiful Array,"['greedy', 'math']",800,21593
1833,B,Restore the Weather,"['greedy', 'sortings']",900,20278
1833,A,Musical Puzzle,"['implementation', 'strings']",800,26378
1832,F,Zombies,"['binary search', 'dp']",3200,182
1832,E,Combinatorics Problem,"['brute force', 'combinatorics', 'dp']",2200,1596
1832,D2,Red-Blue Operations (Hard Version),"['binary search', 'constructive algorithms', 'greedy', 'implementation', 'math']",2400,1396
1832,D1,Red-Blue Operations (Easy Version),"['binary search', 'greedy', 'implementation', 'math']",2100,2213
1832,C,Contrast Value,"['greedy', 'implementation']",1200,13134
1832,B,Maximum Sum,"['brute force', 'sortings', 'two pointers']",1100,14678
1832,A,New Palindrome,['strings'],800,20637
1831,B,Array merging,"['constructive algorithms', 'greedy']",1000,13870
1831,A,Twin Permutations,['constructive algorithms'],800,18863
1830,F,The Third Grace,"['data structures', 'dp']",3200,75
1830,E,Bully Sort,"['data structures', 'math']",3500,108
1830,D,Mex Tree,"['brute force', 'dp', 'trees']",2800,359
1830,C,Hyperregular Bracket Strings,"['combinatorics', 'greedy', 'hashing', 'math', 'number theory', 'sortings']",2400,1066
1830,B,The BOSS Can Count Pairs,"['brute force', 'math']",2000,3342
1830,A,Copil Copac Draws Trees,"['dfs and similar', 'dp', 'graphs', 'trees']",1400,9010
1829,H,Don't Blame Me,"['bitmasks', 'combinatorics', 'dp', 'math']",1700,4476
1829,G,Hits Different,"['data structures', 'dp', 'implementation', 'math']",1600,6146
1829,F,Forever Winter,"['dfs and similar', 'graphs', 'math']",1300,11120
1829,E,The Lakes,"['dfs and similar', 'dsu', 'graphs', 'implementation']",1100,12984
1829,D,Gold Rush,"['brute force', 'dfs and similar', 'dp', 'implementation']",1000,17148
1829,C,Mr. Perfectly Fine,"['bitmasks', 'greedy', 'implementation']",800,20715
1829,B,Blank Space,['implementation'],800,27680
1829,A,Love Story,"['implementation', 'strings']",800,30379
1828,B,Permutation Swap,"['math', 'number theory']",900,15741
1828,A,Divisible Array,"['constructive algorithms', 'math']",800,19365
1827,F,Copium Permutation,"['constructive algorithms', 'data structures', 'greedy']",3500,72
1827,E,Bus Routes,"['binary search', 'constructive algorithms', 'dfs and similar', 'greedy', 'trees']",3400,202
1827,D,Two Centroids,"['data structures', 'dfs and similar', 'greedy', 'trees']",2800,452
1827,C,Palindrome Partition,"['binary search', 'brute force', 'data structures', 'dp', 'hashing', 'strings']",2600,737
1827,B2,Range Sorting (Hard Version),"['binary search', 'data structures', 'dp', 'greedy']",2400,1271
1827,B1,Range Sorting (Easy Version),"['binary search', 'dp', 'dsu', 'greedy', 'trees', 'two pointers']",2000,2788
1827,A,Counting Orders,"['combinatorics', 'math', 'sortings', 'two pointers']",1100,13763
1826,F,Fading into Fog,"['geometry', 'interactive', 'math', 'probabilities']",2800,248
1826,E,Walk the Runway,"['bitmasks', 'brute force', 'data structures', 'dp', 'graphs', 'implementation', 'sortings']",2400,1128
1826,D,Running Miles,"['brute force', 'dp', 'greedy']",1700,5398
