Contest No,Problem Category,Problem Name,Tags,Difficulty,Total solve
1843,F2,Omsk Metro (hard version),"['data structures', 'dfs and similar', 'dp', 'math', 'trees']",2857.1428571428573,552.0
1843,F1,Omsk Metro (simple version),"['data structures', 'dfs and similar', 'dp', 'greedy', 'math', 'trees']",2485.714285714286,2488.0
1843,E,Tracking Segments,"['binary search', 'brute force', 'data structures', 'two pointers']",2313.4615384615386,5561.0
1843,D,Apple Tree,"['combinatorics', 'dfs and similar', 'dp', 'math', 'trees']",1888.7417218543046,10036.0
1843,C,Sum in Binary Tree,"['bitmasks', 'combinatorics', 'math', 'trees']",1503.1645569620252,19024.0
1843,B,Long Long,"['greedy', 'math', 'two pointers']",1098.3050847457628,17848.0
1843,A,Sasha and Array Coloring,"['greedy', 'sortings', 'two pointers']",898.3050847457627,21217.0
1841,F,Monocarp and a Strategic Game,"['geometry', 'sortings', 'two pointers']",2700.0,276.0
1841,E,Fill the Matrix,"['data structures', 'greedy', 'math']",2200.0,1098.0
1841,D,Pairs of Segments,"['data structures', 'greedy', 'sortings', 'two pointers']",2000.0,2506.0
1841,C,Ranom Numbers,"['brute force', 'dp', 'greedy', 'math', 'strings']",1800.0,4922.0
1841,B,Keep it Beautiful,['implementation'],1000.0,14510.0
1841,A,Game with Board,"['constructive algorithms', 'games']",800.0,18969.0
1840,G2,In Search of Truth (Hard Version),"['constructive algorithms', 'interactive', 'math', 'meet-in-the-middle', 'probabilities']",2500.0,538.0
1840,G1,In Search of Truth (Easy Version),"['constructive algorithms', 'interactive', 'math', 'meet-in-the-middle', 'probabilities']",2200.0,1563.0
1840,F,Railguns,"['brute force', 'dfs and similar', 'dp', 'graphs']",2200.0,1079.0
1840,E,Character Blocking,"['data structures', 'hashing', 'implementation']",1600.0,4991.0
1840,D,Wooden Toy Festival,"['binary search', 'greedy', 'sortings']",1400.0,8672.0
1840,C,Ski Resort,"['combinatorics', 'math', 'two pointers']",1000.0,16728.0
1840,B,Binary Cafe,"['bitmasks', 'combinatorics', 'math']",1100.0,16172.0
1840,A,Cipher Shifer,"['implementation', 'strings', 'two pointers']",800.0,24760.0
1839,E,Decreasing Game,"['constructive algorithms', 'dfs and similar', 'dp', 'greedy', 'interactive']",2400.0,736.0
1839,D,Ball Sorting,"['data structures', 'dp', 'sortings']",2100.0,1406.0
1839,C,Insert Zero and Invert Prefix,['constructive algorithms'],1300.0,7981.0
1839,B,Lamps,"['greedy', 'sortings']",1100.0,10759.0
1839,A,The Good Array,"['greedy', 'implementation', 'math']",800.0,13899.0
1838,F,Stuck Conveyor,"['binary search', 'constructive algorithms', 'interactive']",3000.0,181.0
1838,E,Count Supersequences,"['combinatorics', 'dp', 'math']",2500.0,877.0
1838,D,Bracket Walk,"['data structures', 'greedy', 'strings']",2100.0,2173.0
1838,C,No Prime Differences,"['constructive algorithms', 'math', 'number theory']",1400.0,9358.0
1838,B,Minimize Permutation Subarrays,"['constructive algorithms', 'math']",1100.0,12411.0
1838,A,Blackboard List,"['constructive algorithms', 'math']",800.0,17087.0
1837,F,Editorial for Two,"['binary search', 'data structures', 'greedy', 'implementation']",2400.0,1469.0
1837,E,Playoff Fixing,"['combinatorics', 'trees']",2200.0,1584.0
1837,D,Bracket Coloring,"['constructive algorithms', 'greedy']",1400.0,9754.0
1837,C,Best Binary String,"['constructive algorithms', 'greedy']",1000.0,16800.0
1837,B,Comparison String,['greedy'],900.0,19354.0
1837,A,Grasshopper on a Line,"['constructive algorithms', 'math']",800.0,22560.0
1836,B,Astrophysicists,"['greedy', 'math']",1100.0,8381.0
1836,A,Destroyer,"['implementation', 'sortings']",800.0,13772.0
1835,F,Good Graph,"['bitmasks', 'dfs and similar', 'graph matchings', 'graphs', 'implementation']",3500.0,47.0
1835,E,Old Mobile,"['combinatorics', 'dp', 'probabilities']",3500.0,78.0
1835,D,Doctor's Brown Hypothesis,"['dfs and similar', 'graphs', 'math', 'number theory']",2900.0,195.0
1835,C,Twin Clusters,"['bitmasks', 'brute force', 'constructive algorithms', 'math', 'probabilities']",2600.0,521.0
1835,B,Lottery,"['binary search', 'brute force', 'greedy', 'math', 'two pointers']",2500.0,455.0
1835,A,k-th equality,"['brute force', 'implementation', 'math']",1700.0,4352.0
1834,F,Typewriter,['math'],2500.0,241.0
1834,E,MEX of LCM,"['binary search', 'data structures', 'implementation', 'math', 'number theory']",2300.0,934.0
1834,D,Survey in Class,"['brute force', 'data structures', 'greedy', 'implementation', 'sortings']",1900.0,2208.0
1834,C,Game with Reversing,"['games', 'greedy', 'math', 'strings']",1200.0,7649.0
1834,B,Maximum Strength,"['greedy', 'math']",1000.0,9451.0
1834,A,Unit Array,"['greedy', 'math']",800.0,13191.0
1833,G,Ksyusha and Chinchilla,"['constructive algorithms', 'dfs and similar', 'dp', 'dsu', 'greedy', 'implementation', 'trees']",1800.0,3263.0
1833,F,Ira and Flamenco,"['combinatorics', 'constructive algorithms', 'data structures', 'implementation', 'math', 'sortings', 'two pointers']",1700.0,4653.0
1833,E,Round Dance,"['dfs and similar', 'dsu', 'graphs', 'shortest paths']",1600.0,6928.0
1833,D,Flipper,"['brute force', 'constructive algorithms', 'greedy']",1400.0,9841.0
1833,C,Vlad Building Beautiful Array,"['greedy', 'math']",800.0,21541.0
1833,B,Restore the Weather,"['greedy', 'sortings']",900.0,20211.0
1833,A,Musical Puzzle,"['implementation', 'strings']",800.0,26291.0
1832,F,Zombies,"['binary search', 'dp']",3200.0,182.0
1832,E,Combinatorics Problem,"['brute force', 'combinatorics', 'dp']",2200.0,1591.0
1832,D2,Red-Blue Operations (Hard Version),"['binary search', 'constructive algorithms', 'greedy', 'implementation', 'math']",2400.0,1388.0
1832,D1,Red-Blue Operations (Easy Version),"['binary search', 'greedy', 'implementation', 'math']",2100.0,2201.0
1832,C,Contrast Value,"['greedy', 'implementation']",1200.0,13079.0
1832,B,Maximum Sum,"['brute force', 'sortings', 'two pointers']",1100.0,14621.0
1832,A,New Palindrome,['strings'],800.0,20577.0
1831,B,Array merging,"['constructive algorithms', 'greedy']",1000.0,13809.0
1831,A,Twin Permutations,['constructive algorithms'],800.0,18798.0
1830,F,The Third Grace,"['data structures', 'dp']",3200.0,73.0
1830,E,Bully Sort,"['data structures', 'math']",3500.0,108.0
1830,D,Mex Tree,"['brute force', 'dp', 'trees']",2800.0,356.0
1830,C,Hyperregular Bracket Strings,"['combinatorics', 'greedy', 'hashing', 'math', 'number theory', 'sortings']",2400.0,1056.0
1830,B,The BOSS Can Count Pairs,"['brute force', 'math']",2000.0,3324.0
1830,A,Copil Copac Draws Trees,"['dfs and similar', 'dp', 'graphs', 'trees']",1400.0,8953.0
1829,H,Don't Blame Me,"['bitmasks', 'combinatorics', 'dp', 'math']",1700.0,4452.0
1829,G,Hits Different,"['data structures', 'dp', 'implementation', 'math']",1600.0,6118.0
1829,F,Forever Winter,"['dfs and similar', 'graphs', 'math']",1300.0,11064.0
1829,E,The Lakes,"['dfs and similar', 'dsu', 'graphs', 'implementation']",1100.0,12947.0
1829,D,Gold Rush,"['brute force', 'dfs and similar', 'dp', 'implementation']",1000.0,17087.0
1829,C,Mr. Perfectly Fine,"['bitmasks', 'greedy', 'implementation']",800.0,20662.0
1829,B,Blank Space,['implementation'],800.0,27569.0
1829,A,Love Story,"['implementation', 'strings']",800.0,30241.0
1828,B,Permutation Swap,"['math', 'number theory']",900.0,15692.0
1828,A,Divisible Array,"['constructive algorithms', 'math']",800.0,19309.0
1827,F,Copium Permutation,"['constructive algorithms', 'data structures', 'greedy']",3500.0,72.0
1827,E,Bus Routes,"['binary search', 'constructive algorithms', 'dfs and similar', 'greedy', 'trees']",3400.0,198.0
1827,D,Two Centroids,"['data structures', 'dfs and similar', 'greedy', 'trees']",2800.0,446.0
1827,C,Palindrome Partition,"['binary search', 'brute force', 'data structures', 'dp', 'hashing', 'strings']",2600.0,734.0
1827,B2,Range Sorting (Hard Version),"['binary search', 'data structures', 'dp', 'greedy']",2400.0,1267.0
1827,B1,Range Sorting (Easy Version),"['binary search', 'dp', 'dsu', 'greedy', 'trees', 'two pointers']",2000.0,2775.0
1827,A,Counting Orders,"['combinatorics', 'math', 'sortings', 'two pointers']",1100.0,13713.0
1826,F,Fading into Fog,"['geometry', 'interactive', 'math', 'probabilities']",2800.0,247.0
1826,E,Walk the Runway,"['bitmasks', 'brute force', 'data structures', 'dp', 'graphs', 'implementation', 'sortings']",2400.0,1126.0
1826,D,Running Miles,"['brute force', 'dp', 'greedy']",1700.0,5371.0
1826,C,Dreaming of Freedom,"['greedy', 'math', 'number theory']",1300.0,9419.0
1826,B,Lunatic Never Content,"['math', 'number theory']",1100.0,11744.0
1826,A,Trust Nobody,"['brute force', 'greedy', 'implementation', 'sortings']",1200.0,11116.0
1825,B,LuoTianyi and the Table,"['greedy', 'math']",1000.0,11816.0
1825,A,LuoTianyi and the Palindrome String,"['greedy', 'strings']",800.0,16300.0
1824,E,LuoTianyi and Cartridge,"['data structures', 'trees']",3500.0,87.0
1824,D,LuoTianyi and the Function,['data structures'],3000.0,275.0
1824,C,LuoTianyi and XOR-Tree,"['data structures', 'dfs and similar', 'dp', 'dsu', 'greedy', 'trees']",2500.0,852.0
1824,B2,LuoTianyi and the Floating Islands (Hard Version),"['combinatorics', 'dfs and similar', 'math', 'probabilities', 'trees']",2300.0,1961.0
1824,B1,LuoTianyi and the Floating Islands (Easy Version),"['combinatorics', 'math', 'probabilities', 'trees']",1800.0,3328.0
1824,A,LuoTianyi and the Show,"['greedy', 'implementation']",1400.0,8525.0
1823,F,Random Walk,"['dp', 'graphs', 'math', 'probabilities', 'trees']",2600.0,490.0
1823,E,Removing Graph,"['brute force', 'dp', 'games', 'graphs', 'math']",2500.0,953.0
1823,D,Unique Palindromes,"['constructive algorithms', 'math', 'strings']",1900.0,2878.0
1823,C,Strongly Composite,"['greedy', 'math', 'number theory']",1300.0,9068.0
1823,B,Sort with Step,"['brute force', 'math', 'sortings']",900.0,12363.0
1823,A,A-characteristic,"['combinatorics', 'constructive algorithms', 'math']",800.0,13697.0
1822,G2,Magic Triples (Hard Version),"['brute force', 'data structures', 'math', 'number theory']",2200.0,1649.0
1822,G1,Magic Triples (Easy Version),"['brute force', 'data structures', 'math', 'number theory']",1700.0,4620.0
1822,F,Gardening Friends,"['brute force', 'dfs and similar', 'dp', 'graphs', 'trees']",1700.0,3746.0
1822,E,Making Anti-Palindromes,"['greedy', 'math', 'strings']",1600.0,6882.0
1822,D,Super-Permutation,"['constructive algorithms', 'math']",1200.0,12244.0
1822,C,Bun Lover,['math'],800.0,18571.0
1822,B,Karina and Array,"['greedy', 'math', 'sortings']",800.0,19916.0
1822,A,TubeTube Feed,"['brute force', 'implementation']",800.0,19986.0
1821,F,Timber,"['combinatorics', 'dp', 'fft', 'math']",2600.0,523.0
1821,E,Rearrange Brackets,"['brute force', 'dp', 'greedy', 'sortings', 'strings']",2100.0,1653.0
1821,D,Black Cells,"['binary search', 'brute force', 'greedy', 'math']",1900.0,3722.0
1821,C,Tear It Apart,"['brute force', 'implementation', 'math', 'strings']",1300.0,10388.0
1821,B,Sort the Subarray,"['brute force', 'greedy']",1100.0,13428.0
1821,A,Matching,"['combinatorics', 'math']",800.0,16610.0
1820,B,JoJo's Incredible Adventures,"['math', 'strings', 'two pointers']",1100.0,10543.0
1820,A,Yura's New Name,"['implementation', 'strings']",800.0,14065.0
1819,F,"Willy-nilly, Crack, Into Release!","['data structures', 'dp']",3500.0,92.0
1819,E,Roads in E City,"['interactive', 'math', 'probabilities', 'trees']",3200.0,167.0
1819,D,Misha and Apples,"['brute force', 'data structures', 'dp', 'two pointers']",2800.0,461.0
1819,C,The Fox and the Complete Tree Traversal,"['constructive algorithms', 'dp', 'implementation', 'math', 'trees']",2400.0,1079.0
1819,B,The Butcher,"['geometry', 'greedy', 'implementation', 'sortings', 'two pointers']",1900.0,2692.0
1819,A,Constructive Problem,"['brute force', 'greedy']",1300.0,9500.0
1818,B,Indivisible,['constructive algorithms'],900.0,11027.0
1818,A,Politics,"['greedy', 'implementation']",800.0,10987.0
1817,F,Entangled Substrings,"['string suffix structures', 'strings']",3500.0,97.0
1817,E,Half-sum,"['brute force', 'divide and conquer', 'greedy']",3400.0,161.0
1817,D,Toy Machine,"['constructive algorithms', 'games', 'implementation']",2700.0,458.0
1817,C,Similar Polynomials,"['combinatorics', 'math']",2400.0,742.0
1817,B,Fish Graph,"['brute force', 'constructive algorithms', 'dfs and similar', 'graphs']",1900.0,2856.0
1817,A,Almost Increasing Subsequence,"['binary search', 'data structures', 'greedy']",1500.0,7764.0
1816,B,Grid Reconstruction,"['constructive algorithms', 'greedy']",1000.0,12575.0
1816,A,Ian Visits Mary,"['constructive algorithms', 'geometry', 'number theory']",800.0,14982.0
1815,F,OH NO1 (-2-3-4),"['constructive algorithms', 'graphs', 'math']",3500.0,144.0
1815,E,Bosco and Particle,"['dp', 'math', 'number theory', 'strings']",3100.0,232.0
1815,D,XOR Counting,"['bitmasks', 'combinatorics', 'dp', 'math']",2600.0,733.0
1815,C,Between,"['constructive algorithms', 'dfs and similar', 'graphs', 'greedy']",2200.0,1450.0
1815,B,Sum Graph,"['brute force', 'constructive algorithms', 'graphs', 'implementation', 'interactive', 'shortest paths', 'trees']",2000.0,2301.0
1815,A,Ian and Array Sorting,"['greedy', 'math']",1300.0,10931.0
1814,F,Communication Towers,"['brute force', 'divide and conquer', 'dsu']",2700.0,334.0
1814,E,Chain Chips,"['data structures', 'dp', 'matrices']",2300.0,937.0
1814,D,Balancing Weapons,"['binary search', 'brute force', 'data structures', 'math', 'two pointers']",2500.0,638.0
1814,C,Search in Parallel,"['constructive algorithms', 'greedy', 'sortings']",1500.0,7966.0
1814,B,Long Legs,"['brute force', 'math']",1700.0,7607.0
1814,A,Coins,"['implementation', 'math']",800.0,20623.0
1811,G2,Vlad and the Nice Paths (hard version),"['binary search', 'combinatorics', 'data structures', 'dp', 'math', 'two pointers']",2200.0,1149.0
1811,G1,Vlad and the Nice Paths (easy version),"['combinatorics', 'dp', 'math']",2100.0,1387.0
1811,F,Is It Flower?,"['dfs and similar', 'graphs', 'implementation']",2100.0,1267.0
1811,E,Living Sequence,"['binary search', 'dp', 'math', 'number theory']",1500.0,8613.0
1811,D,Umka and a Long Flight,"['constructive algorithms', 'implementation', 'math']",1600.0,5454.0
1811,C,Restore the Array,"['constructive algorithms', 'greedy']",1100.0,15731.0
1811,B,Conveyor Belts,"['implementation', 'math']",1000.0,16807.0
1811,A,Insert Digit,"['greedy', 'math', 'strings']",800.0,25004.0
1810,H,Last Number,"['combinatorics', 'math']",2900.0,86.0
1810,G,The Maximum Prefix,['dp'],3200.0,275.0
1810,F,M-tree,"['data structures', 'math', 'sortings', 'trees']",2800.0,420.0
1810,E,Monsters,"['brute force', 'data structures', 'dfs and similar', 'dsu', 'graphs', 'greedy']",2100.0,2313.0
1810,D,Climbing the Tree,"['binary search', 'math']",1700.0,5739.0
1810,C,Make It Permutation,"['brute force', 'greedy', 'sortings']",1300.0,11263.0
1810,B,Candies,"['constructive algorithms', 'math', 'number theory']",800.0,15442.0
1810,A,Beautiful Sequence,"['brute force', 'greedy']",800.0,18335.0
1809,G,Prediction,"['combinatorics', 'dp', 'math']",2800.0,273.0
1809,F,Traveling in Berland,"['binary search', 'data structures', 'graphs', 'greedy', 'implementation']",2500.0,557.0
1809,E,Two Tanks,"['binary search', 'dp', 'implementation', 'math']",2400.0,622.0
1809,D,Binary String Sorting,"['constructive algorithms', 'greedy']",1800.0,4630.0
1809,C,Sum on Subarrays,"['constructive algorithms', 'greedy', 'math']",1500.0,9421.0
1809,B,Points on Plane,"['binary search', 'greedy', 'math']",1000.0,16366.0
1809,A,Garland,['implementation'],800.0,21322.0
1808,E3,Minibuses on Venus (hard version),"['brute force', 'combinatorics', 'dp', 'math']",2800.0,285.0
1808,E2,Minibuses on Venus (medium version),"['combinatorics', 'divide and conquer', 'dp', 'matrices']",2500.0,459.0
1808,E1,Minibuses on Venus (easy version),"['combinatorics', 'divide and conquer', 'dp']",2200.0,923.0
1808,D,"Petya, Petya, Petr, and Palindromes","['binary search', 'brute force', 'data structures', 'two pointers']",2100.0,1718.0
1808,C,Unlucky Numbers,"['brute force', 'dp', 'greedy', 'implementation']",1900.0,2826.0
1808,B,Playing in a Casino,"['math', 'sortings']",1200.0,10708.0
1808,A,Lucky Numbers,"['brute force', 'implementation']",900.0,14138.0
1807,G2,Subsequence Addition (Hard Version),"['bitmasks', 'dp', 'greedy', 'implementation', 'sortings']",1100.0,14196.0
1807,G1,Subsequence Addition (Easy Version),"['brute force', 'data structures', 'dp', 'greedy', 'implementation', 'sortings']",1100.0,14704.0
1807,F,Bouncy Ball,"['brute force', 'dfs and similar', 'implementation']",1700.0,4486.0
1807,E,Interview,"['binary search', 'implementation', 'interactive']",1300.0,9133.0
1807,D,Odd Queries,"['data structures', 'implementation']",900.0,21224.0
1807,C,Find and Replace,"['greedy', 'implementation', 'strings']",800.0,24380.0
1807,B,Grab the Candies,['greedy'],800.0,31839.0
1807,A,Plus or Minus,['implementation'],800.0,38121.0
1806,F2,GCD Master (hard version),"['greedy', 'math', 'sortings']",2900.0,182.0
1806,F1,GCD Master (easy version),"['greedy', 'math', 'number theory', 'sortings']",2900.0,227.0
1806,E,Tree Master,"['brute force', 'data structures', 'dfs and similar', 'trees']",2200.0,2057.0
1806,D,DSU Master,"['combinatorics', 'dp', 'dsu', 'math']",2500.0,647.0
1806,C,Sequence Master,"['brute force', 'constructive algorithms', 'math']",1600.0,5898.0
1806,B,Mex Master,"['constructive algorithms', 'greedy']",900.0,14718.0
1806,A,Walking Master,"['geometry', 'greedy', 'math']",800.0,18706.0
1805,F2,Survival of the Weakest (hard version),"['greedy', 'math', 'sortings', 'two pointers']",3100.0,235.0
1805,F1,Survival of the Weakest (easy version),"['binary search', 'brute force', 'implementation', 'math', 'sortings']",2600.0,561.0
1805,E,There Should Be a Lot of Maximums,"['brute force', 'data structures', 'dfs and similar', 'dp', 'trees', 'two pointers']",2300.0,1181.0
1805,D,"A Wide, Wide Graph","['dfs and similar', 'dp', 'graphs', 'greedy', 'trees']",1800.0,4581.0
