Problem No,Problem Category,Problem Name,Tags,Difficulty,Total solve
1843,F2,Omsk Metro (hard version),"['data structures', 'dfs and similar', 'dp', 'math', 'trees']",,552
1843,F1,Omsk Metro (simple version),"['data structures', 'dfs and similar', 'dp', 'greedy', 'math', 'trees']",,2488
1843,E,Tracking Segments,"['binary search', 'brute force', 'data structures', 'two pointers']",,5561
1843,D,Apple Tree,"['combinatorics', 'dfs and similar', 'dp', 'math', 'trees']",,10036
1843,C,Sum in Binary Tree,"['bitmasks', 'combinatorics', 'math', 'trees']",,19024
1843,B,Long Long,"['greedy', 'math', 'two pointers']",,17848
1843,A,Sasha and Array Coloring,"['greedy', 'sortings', 'two pointers']",,21217
1841,F,Monocarp and a Strategic Game,"['geometry', 'sortings', 'two pointers']",2700,276
1841,E,Fill the Matrix,"['data structures', 'greedy', 'math']",2200,1098
1841,D,Pairs of Segments,"['data structures', 'greedy', 'sortings', 'two pointers']",2000,2506
1841,C,Ranom Numbers,"['brute force', 'dp', 'greedy', 'math', 'strings']",1800,4922
1841,B,Keep it Beautiful,['implementation'],1000,14510
1841,A,Game with Board,"['constructive algorithms', 'games']",800,18969
1840,G2,In Search of Truth (Hard Version),"['constructive algorithms', 'interactive', 'math', 'meet-in-the-middle', 'probabilities']",2500,538
1840,G1,In Search of Truth (Easy Version),"['constructive algorithms', 'interactive', 'math', 'meet-in-the-middle', 'probabilities']",2200,1563
1840,F,Railguns,"['brute force', 'dfs and similar', 'dp', 'graphs']",2200,1079
1840,E,Character Blocking,"['data structures', 'hashing', 'implementation']",1600,4991
1840,D,Wooden Toy Festival,"['binary search', 'greedy', 'sortings']",1400,8672
1840,C,Ski Resort,"['combinatorics', 'math', 'two pointers']",1000,16728
1840,B,Binary Cafe,"['bitmasks', 'combinatorics', 'math']",1100,16172
1840,A,Cipher Shifer,"['implementation', 'strings', 'two pointers']",800,24760
1839,E,Decreasing Game,"['constructive algorithms', 'dfs and similar', 'dp', 'greedy', 'interactive']",2400,736
1839,D,Ball Sorting,"['data structures', 'dp', 'sortings']",2100,1406
1839,C,Insert Zero and Invert Prefix,['constructive algorithms'],1300,7981
1839,B,Lamps,"['greedy', 'sortings']",1100,10759
1839,A,The Good Array,"['greedy', 'implementation', 'math']",800,13899
1838,F,Stuck Conveyor,"['binary search', 'constructive algorithms', 'interactive']",3000,181
1838,E,Count Supersequences,"['combinatorics', 'dp', 'math']",2500,877
1838,D,Bracket Walk,"['data structures', 'greedy', 'strings']",2100,2173
1838,C,No Prime Differences,"['constructive algorithms', 'math', 'number theory']",1400,9358
1838,B,Minimize Permutation Subarrays,"['constructive algorithms', 'math']",1100,12411
1838,A,Blackboard List,"['constructive algorithms', 'math']",800,17087
